sample_event_id,observatory_code,location_name,transect,quadrat,sample_collection_date,scientific_name,taxonomic_id,macrophyte_id,sample_dry_mass_g,macrophyte_mass_notes
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,1,8,2022-07-14,Halodule wrightii,208925,Halodule wrightii,0.37,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,1,8,2022-07-14,NA,NA,fouling,0.033999999999999975,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,1,8,2022-07-14,Acanthophora spicifera,211768,Acanthophora spicifera,0.034,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,2,8,2022-07-14,NA,NA,fouling,0.006000000000000005,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,2,8,2022-07-14,Halodule wrightii,208925,Halodule wrightii,0.16900000000000004,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,2,8,2022-07-14,Acanthophora spicifera,211768,Acanthophora spicifera,0.019999999999999962,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,1,16,2022-07-14,Halodule wrightii,208925,Halodule wrightii,0.395,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,1,16,2022-07-14,NA,NA,fouling,0.03799999999999998,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,1,16,2022-07-14,Acanthophora spicifera,211768,Acanthophora spicifera,0.187,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,3,40,2022-07-14,Halodule wrightii,208925,Halodule wrightii,0.20799999999999996,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,3,40,2022-07-14,Acanthophora spicifera,211768,Acanthophora spicifera,0.17900000000000005,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,3,40,2022-07-14,NA,NA,fouling,0.05200000000000002,NA
USA-IRL_seagrass_2022,USA-IRL,Round Island Seagrass,1,48,2022-07-14,NA,NA,fouling,0.022999999999999965,NA
