observatory_code,location_name,habitat
BLZ-CBC,Carrie Bow Patch Reef,coral reef
BLZ-CBC,Carrie Bow Reef,coral reef
BLZ-CBC,House Reef,coral reef
BLZ-CBC,South Reef,coral reef
BLZ-CBC,Tobacco Reef,coral reef
BLZ-CBC,Blueground Mangrove,mangrove
BLZ-CBC,Carrie Bow Sand,bare sediment
BLZ-CBC,CBC Seagrass,seagrass
BLZ-CBC,Curlew Patch Reef,coral reef
BLZ-CBC,Curlew Sand,bare sediment
BLZ-CBC,Curlew Seagrass,seagrass
BLZ-CBC,Tobacco Mangrove,mangrove
BLZ-CBC,Twin Cays Mangrove,mangrove
BLZ-CBC,Twin Cays Seagrass,seagrass
