observatory_code,location_name,habitat
USA-TXS,Egery Flats Marsh,salt marsh
USA-TXS,Goose Island Oyster,oyster reef
USA-TXS,Harbor Island Mangrove,mangrove
USA-TXS,Swan Lake Seagrass,seagrass
USA-TXS,St Charles Bay Oyster,oyster reef
USA-TXS,UTMSI Dock,artificial
USA-TXS,Mud Island Mangrove,mangrove
USA-TXS,Redfish Bay Oyster,oyster reef
USA-TXS,Goose Island Marsh,salt marsh
USA-TXS,Mud Island Marsh,salt marsh
USA-TXS,Redfish Bay Seagrass,seagrass
USA-TXS,San Jose Seagrass,seagrass
USA-TXS,Laguna Madre Seagrass,seagrass
USA-TXS,Oso Bay Seagrass,seagrass
,,
