scientific_name,taxonomic_id,id_type
Gnatholepis thompsoni,277493,Aphia ID
Hypoplectrus puella,281120,Aphia ID
Lytechinus variegatus,367850,Aphia ID
Chaetodon capistratus,159661,Aphia ID
Halichoeres bivittatus,158815,Aphia ID
Haemulon plumierii,158808,Aphia ID
Condylactis gigantea,283419,Aphia ID
Cassiopea andromeda,135295,Aphia ID
Coryphopterus eidolon,276426,Aphia ID
Lutjanus,159791,Aphia ID
Holothuria,123456,Aphia ID
Chordata,1821,Aphia ID
Clupeidae,125464,Aphia ID
Syringodium filiforme,374715,Aphia ID
Thalassia testudinum,374720,Aphia ID
Halimeda,143820,Aphia ID
Dictyota,144086,Aphia ID
Paguristes,106844,Aphia ID
Gastropoda,101,Aphia ID
Chlorophyta,801,Aphia ID
Phaeophyceae,830,Aphia ID
Dissonidae,346012,Aphia ID
Mollusca,51,Aphia ID
Cystiscidae,23023,Aphia ID
Modulidae,196285,Aphia ID
Polychaeta,883,Aphia ID
Caridea,106674,Aphia ID
Fissurellidae,111,Aphia ID
Smaragdia viridis,140570,Aphia ID
Phasianellidae,151267,Aphia ID
Bivalvia,105,Aphia ID
Amphipoda,1135,Aphia ID
Polyplacophora,55,Aphia ID
Cypraeidae,23022,Aphia ID
Isopoda,1131,Aphia ID
Lytechinus,240777,Aphia ID
Rhodophyta,852,Aphia ID
Halimeda opuntia,144482,Aphia ID
Cheloniidae,136999,Aphia ID
Mullus surmuletus,126986,Aphia ID
Xyrichtys novacula,126971,Aphia ID
Sphoeroides marmoratus,127416,Aphia ID
Canthigaster capistrata,234105,Aphia ID
Pagellus erythrinus,127060,Aphia ID
Astropecten aranciacus,123856,Aphia ID
Cryptosoma cristatum,107272,Aphia ID
Heteroconger longissimus,126288,Aphia ID
Hippocampus,126224,Aphia ID
Sparisoma cretense,231441,Aphia ID
Spondyliosoma cantharus,127066,Aphia ID
Cymodocea nodosa,145793,Aphia ID
Caulerpa,143816,Aphia ID
Didemnum,103456,Aphia ID
Diplosoma listerianum,103579,Aphia ID
Diplosoma spongiforme,103582,Aphia ID
Cirripedia,1082,Aphia ID
Bugula neritina,111158,Aphia ID
Sabellidae,985,Aphia ID
Clavelina oblonga,103554,Aphia ID
Ascidia curvata,249981,Aphia ID
Schizoporella pungens,422363,Aphia ID
Hippopodina feegeensis,111389,Aphia ID
Phallusia nigra,103725,Aphia ID
