sample_event_id,scientific_name,updated_scientific_name,taxonomic_id,id_type
PAN-BDT_seagrass_2022,Gnatholepis thompsoni,Gnatholepis thompsoni,277493,Aphia ID
PAN-BDT_seagrass_2022,Hypoplectrus puella,Hypoplectrus puella,281120,Aphia ID
PAN-BDT_seagrass_2022,Lytechinus variegatus,Lytechinus variegatus,367850,Aphia ID
PAN-BDT_seagrass_2022,Chaetodon capitrastus,Chaetodon capistratus,159661,Aphia ID
PAN-BDT_seagrass_2022,Halichoeres bivittatus,Halichoeres bivittatus,158815,Aphia ID
PAN-BDT_seagrass_2022,Haemulon plumierii,Haemulon plumierii,158808,Aphia ID
PAN-BDT_seagrass_2022,Condylactis gigantea,Condylactis gigantea,283419,Aphia ID
PAN-BDT_seagrass_2022,Cassiopeia andromeda,Cassiopea andromeda,135295,Aphia ID
PAN-BDT_seagrass_2022,Coryphopterus eidolon,Coryphopterus eidolon,276426,Aphia ID
PAN-BDT_seagrass_2022,Lutjanus sp.,Lutjanus,159791,Aphia ID
PAN-BDT_seagrass_2022,Holothuria spp.,Holothuria,123456,Aphia ID
PAN-BDT_seagrass_2022,Chordata,Chordata,1821,Aphia ID
PAN-BDT_seagrass_2022,Clupeidae,Clupeidae,125464,Aphia ID
PAN-BDT_seagrass_2022,Syringodium filiforme,Syringodium filiforme,374715,Aphia ID
PAN-BDT_seagrass_2022,Thalassia testudinum,Thalassia testudinum,374720,Aphia ID
PAN-BDT_seagrass_2022,Halimeda Spp.,Halimeda,143820,Aphia ID
PAN-BDT_seagrass_2022,Dyctiota Spp.,Dictyota,144086,Aphia ID
PAN-BDT_seagrass_2022,Siringodium filiforme,Syringodium filiforme,374715,Aphia ID
PAN-BDT_seagrass_2022,Paguristes sp.,Paguristes,106844,Aphia ID
PAN-BDT_seagrass_2022,Holothuria sp.,Holothuria,123456,Aphia ID
PAN-BDT_seagrass_2022,Gastropod. Sp,Gastropoda,101,Aphia ID
PAN-BDT_seagrass_2022,Chlorophyta,Chlorophyta,801,Aphia ID
PAN-BDT_seagrass_2022,Phaeophyceae,Phaeophyceae,830,Aphia ID
PAN-BDT_seagrass_2022,Gastropod sp. 6,Gastropoda,101,Aphia ID
PAN-BDT_seagrass_2022,Rissonidae sp. A,Dissonidae,346012,Aphia ID
PAN-BDT_seagrass_2022,Mollusc,Mollusca,51,Aphia ID
PAN-BDT_seagrass_2022,Cystiscidae sp.,Cystiscidae,23023,Aphia ID
PAN-BDT_seagrass_2022,Modulidae sp.,Modulidae,196285,Aphia ID
PAN-BDT_seagrass_2022,Polychaeta sp.,Polychaeta,883,Aphia ID
PAN-BDT_seagrass_2022,Gastropod sp. E,Gastropoda,101,Aphia ID
PAN-BDT_seagrass_2022,Gastropod sp. F,Gastropoda,101,Aphia ID
PAN-BDT_seagrass_2022,Caridea sp.,Caridea,106674,Aphia ID
PAN-BDT_seagrass_2022,Fissurellidae sp.,Fissurellidae,111,Aphia ID
PAN-BDT_seagrass_2022,Shrimp-Caridea sp.,Caridea,106674,Aphia ID
PAN-BDT_seagrass_2022,Smaragdia viridis,Smaragdia viridis,140570,Aphia ID
PAN-BDT_seagrass_2022,Gastropod sp. B,Gastropoda,101,Aphia ID
PAN-BDT_seagrass_2022,Phasianellidae sp.,Phasianellidae,151267,Aphia ID
PAN-BDT_seagrass_2022,Rissonidae sp. C,Dissonidae,346012,Aphia ID
PAN-BDT_seagrass_2022,Gastropod sp. C,Gastropoda,101,Aphia ID
PAN-BDT_seagrass_2022,Gastropod sp. A,Gastropoda,101,Aphia ID
PAN-BDT_seagrass_2022,Bivalvia sp.B,Bivalvia,105,Aphia ID
PAN-BDT_seagrass_2022,Amphipid sp.A,Amphipoda,1135,Aphia ID
PAN-BDT_seagrass_2022,Chiton-polyplacophora sp.,Polyplacophora,55,Aphia ID
PAN-BDT_seagrass_2022,Cypraeidae,Cypraeidae,23022,Aphia ID
PAN-BDT_seagrass_2022,Isopod sp. A,Isopoda,1131,Aphia ID
PAN-BDT_seagrass_2022,Lytechinus sp.,Lytechinus,240777,Aphia ID
PAN-BDT_seagrass_2022,Rissonidae sp. B,Dissonidae,346012,Aphia ID
PAN-BDT_seagrass_2022,Dyctiota spp.,Dictyota,144086,Aphia ID
PAN-BDT_seagrass_2022,Halimeda spp.,Halimeda,143820,Aphia ID
PAN-BDT_seagrass_2022,Red Algae,Rhodophyta,852,Aphia ID
PAN-BDT_seagrass_2022,Green Algae,Chlorophyta,801,Aphia ID
PAN-BDT_seagrass_2022,Halimeda opuntia,Halimeda opuntia,144482,Aphia ID
PAN-BDT_seagrass_2022,Dictyota spp.,Dictyota,144086,Aphia ID
