sample_event_id,scientific_name,updated_scientific_name,taxonomic_id,id_type
USA-IRL_fouling_2022,Didemnum sp 02,Didemnum,103456,Aphia ID
USA-IRL_fouling_2022,Diplosoma listerianum,Diplosoma listerianum,103579,Aphia ID
USA-IRL_fouling_2022,Diplosoma spongiforme,Diplosoma spongiforme,103582,Aphia ID
USA-IRL_fouling_2022,Barnacles_live,Cirripedia,1082,Aphia ID
USA-IRL_fouling_2022,Bugula neritina,Bugula neritina,111158,Aphia ID
USA-IRL_fouling_2022,Sabellidae,Sabellidae,985,Aphia ID
USA-IRL_fouling_2022,Didemnum sp 01,Didemnum,103456,Aphia ID
USA-IRL_fouling_2022,Clavelina oblonga,Clavelina oblonga,103554,Aphia ID
USA-IRL_fouling_2022,Ascidia curvata,Ascidia curvata,249981,Aphia ID
USA-IRL_fouling_2022,Schizoporella pungens,Schizoporella pungens,422363,Aphia ID
USA-IRL_fouling_2022,Hippopodina feegeensis,Hippopodina feegeensis,111389,Aphia ID
USA-IRL_fouling_2022,Phallusia nigra,Phallusia nigra,103725,Aphia ID
USA-IRL_fouling_2022,Caulibugula armata,Caulibugula armata,448282,Aphia ID
USA-IRL_fouling_2022,Savignyella lafontii,Savignyella lafontii,111512,Aphia ID
USA-IRL_fouling_2022,Hydroides spp,Hydroides,129566,Aphia ID
USA-IRL_fouling_2022,Botrylloides nigrum,Botrylloides niger,252289,Aphia ID
USA-IRL_fouling_2022,Hydroids,Hydrozoa,1337,Aphia ID
USA-IRL_fouling_2022,Didemnum psammatodes,Didemnum psammatodes,252853,Aphia ID
USA-IRL_fouling_2022,Symplegma rubra,Symplegma rubra,212500,Aphia ID
USA-IRL_fouling_2022,Herdmania pallida,Herdmania pallida,250697,Aphia ID
USA-IRL_fouling_2022,Cradoscrupocellaria bertholletii,Cradoscrupocellaria bertholletii,738973,Aphia ID
USA-IRL_fouling_2022,Catenicella uberrima,Catenicella uberrima,422314,Aphia ID
USA-IRL_fouling_2022,Parasmittina nitida,Parasmittina nitida,422348,Aphia ID
USA-IRL_fouling_2022,Porifera_purple,Porifera,558,Aphia ID
USA-IRL_fouling_2022,Polyclinum constellatum,Polyclinum constellatum,215891,Aphia ID
USA-IRL_fouling_2022,Perophora viridis,Perophora viridis,103761,Aphia ID
USA-IRL_fouling_2022,Symplegma brakenhielmi,Symplegma brakenhielmi,251435,Aphia ID
USA-IRL_fouling_2022,Diplosoma glandulosum,Diplosoma glandulosum,250134,Aphia ID
USA-IRL_fouling_2022,Botryllus planus,Botryllus planus,215992,Aphia ID
USA-IRL_fouling_2022,Amphipod tubes,Amphipoda,1135,Aphia ID
USA-IRL_fouling_2022,Ascidia sydneiensis,Ascidia sydneiensis,215940,Aphia ID
USA-IRL_fouling_2022,Styela plicata,Styela plicata,103936,Aphia ID
USA-IRL_fouling_2022,Molgula manhattensis,Molgula manhattensis,103788,Aphia ID
USA-IRL_fouling_2022,Hippopodina indica,Hippopodina indicata,1403980,Aphia ID
USA-IRL_fouling_2022,Amathia verticillata,Amathia verticillata,851581,Aphia ID
USA-IRL_fouling_2022,Watersipora subtorquata,Watersipora subtorquata,111592,Aphia ID
USA-IRL_fouling_2022,Crepidula spp,Crepidula,137722,Aphia ID
USA-IRL_fouling_2022,Amphibalanus eburneus,Amphibalanus eburneus,421138,Aphia ID
USA-IRL_fouling_2022,Branchiomma bairdi,Branchiomma bairdi,421070,Aphia ID
USA-IRL_fouling_2022,Celleporaria brunnea,Celleporaria brunnea,394868,Aphia ID
USA-IRL_fouling_2022,Didemnum sp 04,Didemnum,103456,Aphia ID
USA-IRL_fouling_2022,Eudistoma olivaceum,Eudistoma olivaceum,250236,Aphia ID
USA-IRL_fouling_2022,Hydroid sp 01,Hydrozoa,1337,Aphia ID
USA-IRL_fouling_2022,Hydroides sp,Hydroides,129566,Aphia ID
USA-IRL_fouling_2022,Musculus lateralis,Musculus lateralis,420707,Aphia ID
USA-IRL_fouling_2022,Parasabella sp,Parasabella,325958,Aphia ID
USA-IRL_fouling_2022,Pinctada longisquamosa,Pinctada longisquamosa,420734,Aphia ID
USA-IRL_fouling_2022,Polydora cornuta,Polydora cornuta,131143,Aphia ID
USA-IRL_fouling_2022,Amphibalanus reticulatus,Amphibalanus reticulatus,421140,Aphia ID
USA-IRL_fouling_2022,Ascidia sp 03,Ascidia,103483,Aphia ID
USA-IRL_fouling_2022,Distaplia bermudensis,Distaplia bermudensis,103604,Aphia ID
USA-IRL_fouling_2022,Herdmania momus,Herdmania momus,103830,Aphia ID
USA-IRL_fouling_2022,Petaloconchus sp,Petaloconchus,138650,Aphia ID
USA-IRL_fouling_2022,Sycon ciliatum,Sycon ciliatum,132251,Aphia ID
USA-IRL_fouling_2022,Terebellid 02,Terebellida,900,Aphia ID
USA-IRL_fouling_2022,Ascidia sp 01,Ascidia,103483,Aphia ID
USA-IRL_fouling_2022,Amathia alternata,Amathia alternata,422418,Aphia ID
USA-IRL_fouling_2022,Hydroides dianthus,Hydroides dianthus,131000,Aphia ID
USA-IRL_fouling_2022,Porifera 02,Porifera,558,Aphia ID
USA-IRL_fouling_2022,Spirorbidae_CW,Spirorbidae,1021266,Aphia ID
USA-IRL_fouling_2022,Spirorbidae_CCW,Spirorbidae,1021266,Aphia ID
USA-IRL_fouling_2022,Terebellid 01,Terebellida,900,Aphia ID
USA-IRL_fouling_2022,Bugula stolonifera,Bugulina stolonifera,834018,Aphia ID
USA-IRL_fouling_2022,Clathria sp 01,Clathria,131868,Aphia ID
USA-IRL_fouling_2022,Barentsia,Barentsia,111795,Aphia ID
USA-IRL_fouling_2022,Cirriformia sp,Cirriformia,129245,Aphia ID
USA-IRL_fouling_2022,Monocorophium acherusicum,Monocorophium acherusicum,225814,Aphia ID
USA-IRL_fouling_2022,Sabellid 02,Sabellida,901,Aphia ID
USA-IRL_fouling_2022,Porifera 01,Porifera,558,Aphia ID
USA-IRL_fouling_2022,anemone_01,Actiniaria,1360,Aphia ID
USA-IRL_fouling_2022,Anomia simplex,Anomia simplex,156737,Aphia ID
USA-IRL_fouling_2022,Eudistoma sp nov,Eudistoma,103465,Aphia ID
USA-IRL_fouling_2022,Eudistoma sp 01,Eudistoma,103465,Aphia ID
USA-IRL_fouling_2022,Microcosmus exasperatus,Microcosmus exasperatus,103838,Aphia ID
USA-IRL_fouling_2022,Clavelina picta,Clavelina picta,250323,Aphia ID
USA-IRL_fouling_2022,Hydroides diramphus,Hydroides dirampha,131001,Aphia ID
USA-IRL_fouling_2022,Polyandrocarpa zorritensis,Polyandrocarpa zorritensis,103895,Aphia ID
USA-IRL_fouling_2022,Hippoporina indica,Hippoporina indica,469112,Aphia ID
USA-IRL_fouling_2022,Victorella pavida,Victorella pavida,111673,Aphia ID
USA-IRL_fouling_2022,Licornia regularis,Licornia regularis,760385,Aphia ID
USA-IRL_fouling_2022,Balanus trigonus,Balanus trigonus,106223,Aphia ID
USA-IRL_fouling_2022,Amphibalanus venustus,Amphibalanus venustus,421142,Aphia ID
USA-IRL_fouling_2022,Cradoscrupocellaria atlantica,Cradoscrupocellaria atlantica,738972,Aphia ID
USA-IRL_fouling_2022,Distaplia bermudiensis,Distaplia bermudensis,103604,Aphia ID
USA-IRL_fouling_2022,Mycale microstigmatosa,Mycale microsigmatosa,192555,Aphia ID
USA-IRL_fouling_2022,Botryllus sp nov,Botryllus,103529,Aphia ID
USA-IRL_fouling_2022,Halichondria cf. magniconulosa,Halichondria magniconulosa,191436,Aphia ID
USA-IRL_fouling_2022,Noella cf stipata,Nolella stipata,111636,Aphia ID
USA-IRL_fouling_2022,Terrebellidae,Terebellidae,982,Aphia ID
USA-IRL_fouling_2022,Amathia vidivici,Amathia vidovici,111663,Aphia ID
USA-IRL_fouling_2022,Ecteinascidia turnbinata,Ecteinascidia turbinata,103756,Aphia ID
USA-IRL_fouling_2022,Displosoma listerianum,Diplosoma listerianum,103579,Aphia ID
USA-IRL_fouling_2022,Parasmittina nitidia,Parasmittina nitida,422348,Aphia ID
USA-IRL_fouling_2022,Halichondria cf magniconulosa,Halichondria magniconulosa,191436,Aphia ID
USA-IRL_fouling_2022,Stylea canopus,Styela canopus,103926,Aphia ID
USA-IRL_fouling_2022,Mycale microstigmata,Mycale (Carmia) microsigmatosa,168590,Aphia ID
USA-IRL_fouling_2022,Ascida sydneiensis,Ascidia sydneiensis,215940,Aphia ID
USA-IRL_fouling_2022,Ectinascidia turbinata,Ecteinascidia turbinata,103756,Aphia ID
USA-IRL_fouling_2022,Ericthonus brasiliensis,Ericthonius brasiliensis,102401,Aphia ID
USA-IRL_fouling_2022,Crassostrea virginica,Crassostrea virginica,140657,Aphia ID
USA-IRL_fouling_2022,Brachidontes exustus,Brachidontes exustus,397026,Aphia ID
