sample_event_id,scientific_name,updated_scientific_name,taxonomic_id,id_type
USA-IRL_oyster_2022,Micropanope sp,Micropanope,246346,Aphia ID
USA-IRL_oyster_2022,Mithrax sp,Mithrax,158428,Aphia ID
USA-IRL_oyster_2022,Libinina sp,Libinia,106906,Aphia ID
USA-IRL_oyster_2022,Eurypanopeus depressus,Eurypanopeus depressus,158416,Aphia ID
USA-IRL_oyster_2022,Panopeus occidentalis,Panopeus occidentalis,422086,Aphia ID
USA-IRL_oyster_2022,Panopeus herbstii,Panopeus herbstii,158436,Aphia ID
USA-IRL_oyster_2022,Alpheus heterochaelis,Alpheus heterochaelis,158348,Aphia ID
USA-IRL_oyster_2022,Boonea impressa,Boonea impressa,420437,Aphia ID
USA-IRL_oyster_2022,Cerithium muscarum,Cerithium muscarum,419523,Aphia ID
USA-IRL_oyster_2022,Goniopsis cruentana,Goniopsis cruentata,422187,Aphia ID
USA-IRL_oyster_2022,Menippe mercanaria,Menippe mercenaria,422070,Aphia ID
USA-IRL_oyster_2022,Petrolisthes armatus,Petrolisthes armatus,396707,Aphia ID
USA-IRL_oyster_2022,Crassostrea virginica,Crassostrea virginica,140657,Aphia ID
USA-IRL_oyster_2022,Isognomon alatus,Isognomon alatus,420736,Aphia ID
USA-IRL_oyster_2022,Brachidontes exustus,Brachidontes exustus,397026,Aphia ID
USA-IRL_oyster_2022,Ischadium recurvum,Ischadium recurvum,156861,Aphia ID
