sample_event_id,scientific_name,updated_scientific_name,taxonomic_id,id_type
USA-MDA_salt-marsh_2022,Symphyotrichum subulatum,Aster subulatus,1096320,Aphia ID
USA-MDA_salt-marsh_2022,Phragmites australis,Phragmites australis,416209,Aphia ID
USA-MDA_salt-marsh_2022,Hydrocotyle umbellata,Hydrocotyle umbellata,1491603,Aphia ID
USA-MDA_salt-marsh_2022,Schoenoplectus americanus,Schoenoplectus americanus,577501,Aphia ID
USA-MDA_salt-marsh_2022,Spartina alterniflora,Spartina alterniflora,234072,Aphia ID
USA-MDA_salt-marsh_2022,Typha angustifolia,Typha angustifolia,1415753,Aphia ID
USA-MDA_salt-marsh_2022,Morella cerifera,Morella cerifera,1492216,Aphia ID
USA-MDA_salt-marsh_2022,Lonicera japonica,Lonicera japonica,1491747,Aphia ID
USA-MDA_salt-marsh_2022,Symphyotrichum tenuifolium,Symphyotrichum tenuifolium,418793,Aphia ID
USA-MDA_salt-marsh_2022,Baccharis halimifolia,Baccharis halimifolia,578001,Aphia ID
USA-MDA_salt-marsh_2022,Pluchea odorata,Pluchea odorata,418788,Aphia ID
USA-MDA_salt-marsh_2022,Spartina cynosuroides,Spartina cynosuroides,418820,Aphia ID
USA-MDA_salt-marsh_2022,Hibiscus moscheutos,Hibiscus moscheutos,418727,Aphia ID
USA-MDA_salt-marsh_2022,Sagittaria latifolia,Sagittaria latifolia,1435889,Aphia ID
USA-MDA_salt-marsh_2022,Amaranthus cannabinus,Amaranthus cannabinus,418655,Aphia ID
USA-MDA_salt-marsh_2022,Distichlis spicata,Distichlis spicata,1433670,Aphia ID
USA-MDA_salt-marsh_2022,Spartina patens,Spartina patens,395045,Aphia ID
USA-MDA_salt-marsh_2022,Parthenocissus quinquefolia,Parthenocissus quinquefolia,418650,Aphia ID
USA-MDA_salt-marsh_2022,Ilex sp.,Ilex,415505,Aphia ID
USA-MDA_salt-marsh_2022,Solidago sp.,Solidago,415991,Aphia ID
USA-MDA_salt-marsh_2022,Solidago sempervirens,Solidago sempervirens,418790,Aphia ID
USA-MDA_salt-marsh_2022,Panicum varigatum,Panicum virgatum,418816,Aphia ID
USA-MDA_salt-marsh_2022,Convolvulus arvensis,Convolvulus arvensis,NA,NA
USA-MDA_salt-marsh_2022,Atriplex patula,Atriplex patula,NA,NA
USA-MDA_salt-marsh_2022,Schoenoplectus robustus,Schoenoplectus robustus,NA,NA
USA-MDA_salt-marsh_2022,Polygonum hydropiperoides,Polygonum hydropiperoides,NA,NA
USA-MDA_salt-marsh_2022,Juniperus virginia,Juniperus virginiana,1492694,Aphia ID
USA-MDA_salt-marsh_2022,Iva futescens,Iva frutescens,418784,Aphia ID
USA-MDA_salt-marsh_2022,Kosteletzkya virginica,Kosteletzkya virginica,418730,Aphia ID
