sample_event_id,scientific_name,updated_scientific_name,taxonomic_id,id_type
USA-MDA_seagrass_2022,Morone americana,Morone americana,151177,Aphia ID
USA-MDA_seagrass_2022,Fundulus majalis,Fundulus majalis,159308,Aphia ID
USA-MDA_seagrass_2022,Menidia menidia,Menidia menidia,159228,Aphia ID
USA-MDA_seagrass_2022,Esox niger,Esox niger,888530,Aphia ID
USA-MDA_seagrass_2022,Menidia beryllina,Menidia beryllina,159227,Aphia ID
USA-MDA_seagrass_2022,Leiostomus xanthurus,Leiostomus xanthurus,159322,Aphia ID
USA-MDA_seagrass_2022,Anchoa mitchilli,Anchoa mitchilli,158699,Aphia ID
USA-MDA_seagrass_2022,Micropogonias undulatus,Micropogonias undulatus,151158,Aphia ID
USA-MDA_seagrass_2022,Syngnathus fuscus,Syngnathus fuscus,159451,Aphia ID
USA-MDA_seagrass_2022,Fundulus heteroclitus,Fundulus heteroclitus,159306,Aphia ID
USA-MDA_seagrass_2022,Zannichellia palustris,Zannichellia palustris,416222,Aphia ID
USA-MDA_seagrass_2022,Zannichellia pulstris,Zannichellia palustris,416222,Aphia ID
