aphia_id,Kingdom,Class,Order,Family,Genus,Species,Phylum,highest_classification
1492694,Plantae,Pinopsida,Cupressales,Cupressaceae,Juniperus,Juniperus virginiana,NA,species
1492216,Plantae,Magnoliopsida,Fagales,Myricaceae,Morella,Morella cerifera,NA,species
1491747,Plantae,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,Lonicera japonica,NA,species
1491603,Plantae,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle umbellata,NA,species
1435889,Plantae,Magnoliopsida,Alismatales,Alismataceae,Sagittaria,Sagittaria latifolia,NA,species
1433670,Plantae,Magnoliopsida,Poales,Poaceae,Distichlis,Distichlis spicata,NA,species
1415753,Plantae,Magnoliopsida,Poales,Typhaceae,Typha,Typha angustifolia,NA,species
1403980,Animalia,Gymnolaemata,Cheilostomatida,Hippopodinidae,Hippopodina,Hippopodina indicata,Bryozoa,species
1327608,Plantae,Florideophyceae,Gracilariales,Gracilariaceae,Crassiphycus,Crassiphycus usneoides,NA,species
1258715,Animalia,Malacostraca,Decapoda,Mithracidae,Amphithrax,Amphithrax hemphilli,Arthropoda,species
1096320,Plantae,Magnoliopsida,Asterales,Compositae,Aster,Aster subulatus,NA,species
1021266,Animalia,Polychaeta,Sabellida,Spirorbidae,NA,NA,Annelida,family
932401,Animalia,Malacostraca,Decapoda,Palaemonidae,Palaemon,Palaemon pugio,Arthropoda,species
888530,Animalia,Teleostei,Esociformes,Esocidae,Esox,Esox niger,Chordata,species
877061,Animalia,Gastropoda,Neogastropoda,Nassariidae,Phrontis,Phrontis vibex,Mollusca,species
865834,Animalia,Gastropoda,Cycloneritida,Neritidae,Vitta,Vitta virginea,Mollusca,species
851581,Animalia,Gymnolaemata,Ctenostomatida,Vesiculariidae,Amathia,Amathia verticillata,Bryozoa,species
834018,Animalia,Gymnolaemata,Cheilostomatida,Bugulidae,Bugulina,Bugulina stolonifera,Bryozoa,species
760385,Animalia,Gymnolaemata,Cheilostomatida,Candidae,Licornia,Licornia regularis,Bryozoa,species
738973,Animalia,Gymnolaemata,Cheilostomatida,Candidae,Cradoscrupocellaria,Cradoscrupocellaria bertholletii,Bryozoa,species
738972,Animalia,Gymnolaemata,Cheilostomatida,Candidae,Cradoscrupocellaria,Cradoscrupocellaria atlantica,Bryozoa,species
578001,Plantae,Magnoliopsida,Asterales,Compositae,Baccharis,Baccharis halimifolia,NA,species
577501,Plantae,Magnoliopsida,Poales,Cyperaceae,Schoenoplectus,Schoenoplectus americanus,NA,species
532891,Animalia,Gastropoda,Neogastropoda,Granulinidae,Granulina,Granulina ovuliformis,Mollusca,species
532293,Animalia,Gastropoda,Cephalaspidea,Haminoeidae,Haminoea,Haminoea petitii,Mollusca,species
514508,Animalia,Malacostraca,Decapoda,Palaemonidae,Cuapetes,Cuapetes americanus,Arthropoda,species
469112,Animalia,Gymnolaemata,Cheilostomatida,Bitectiporidae,Hippoporina,Hippoporina indica,Bryozoa,species
448282,Animalia,Gymnolaemata,Cheilostomatida,Bugulidae,Caulibugula,Caulibugula armata,Bryozoa,species
431340,Animalia,Malacostraca,Amphipoda,Corophiidae,Chelicorophium,Chelicorophium spinulosum,Arthropoda,species
422677,Animalia,Malacostraca,Amphipoda,Aoridae,Lembos,Lembos unifasciatus,Arthropoda,species
422418,Animalia,Gymnolaemata,Ctenostomatida,Vesiculariidae,Amathia,Amathia alternata,Bryozoa,species
422363,Animalia,Gymnolaemata,Cheilostomatida,Schizoporellidae,Schizoporella,Schizoporella pungens,Bryozoa,species
422348,Animalia,Gymnolaemata,Cheilostomatida,Smittinidae,Parasmittina,Parasmittina nitida,Bryozoa,species
422314,Animalia,Gymnolaemata,Cheilostomatida,Catenicellidae,Catenicella,Catenicella uberrima,Bryozoa,species
422187,Animalia,Malacostraca,Decapoda,Grapsidae,Goniopsis,Goniopsis cruentata,Arthropoda,species
422113,Animalia,Malacostraca,Decapoda,Pseudorhombilidae,Nanoplax,Nanoplax xanthiformis,Arthropoda,species
422086,Animalia,Malacostraca,Decapoda,Panopeidae,Panopeus,Panopeus occidentalis,Arthropoda,species
422081,Animalia,Malacostraca,Decapoda,Panopeidae,Hexapanopeus,Hexapanopeus paulensis,Arthropoda,species
422070,Animalia,Malacostraca,Decapoda,Menippidae,Menippe,Menippe mercenaria,Arthropoda,species
421589,Animalia,Malacostraca,Amphipoda,Ischyroceridae,Cerapus,Cerapus cudjoe,Arthropoda,species
421581,Animalia,Malacostraca,Amphipoda,Caprellidae,Deutella,Deutella incerta,Arthropoda,species
421523,Animalia,Malacostraca,Amphipoda,Maeridae,Quadrimaera,Quadrimaera quadrimana,Arthropoda,species
421504,Animalia,Malacostraca,Amphipoda,Melitidae,Dulichiella,Dulichiella appendiculata,Arthropoda,species
421142,Animalia,Thecostraca,Balanomorpha,Balanidae,Amphibalanus,Amphibalanus venustus,Arthropoda,species
421140,Animalia,Thecostraca,Balanomorpha,Balanidae,Amphibalanus,Amphibalanus reticulatus,Arthropoda,species
421138,Animalia,Thecostraca,Balanomorpha,Balanidae,Amphibalanus,Amphibalanus eburneus,Arthropoda,species
421070,Animalia,Polychaeta,Sabellida,Sabellidae,Branchiomma,Branchiomma bairdi,Annelida,species
420736,Animalia,Bivalvia,Ostreida,Isognomonidae,Isognomon,Isognomon alatus,Mollusca,species
420734,Animalia,Bivalvia,Ostreida,Margaritidae,Pinctada,Pinctada longisquamosa,Mollusca,species
420707,Animalia,Bivalvia,Mytilida,Mytilidae,Musculus,Musculus lateralis,Mollusca,species
420524,Animalia,Gastropoda,Cephalaspidea,Haminoeidae,Haminoea,Haminoea antillarum,Mollusca,species
420514,Animalia,Gastropoda,NA,Acteonidae,Japonactaeon,Japonactaeon punctostriatus,Mollusca,species
420483,Animalia,Gastropoda,NA,Pyramidellidae,Turbonilla,Turbonilla dalli,Mollusca,species
420437,Animalia,Gastropoda,NA,Pyramidellidae,Boonea,Boonea impressa,Mollusca,species
420149,Animalia,Gastropoda,Neogastropoda,Marginellidae,Prunum,Prunum apicinum,Mollusca,species
419806,Animalia,Gastropoda,[unassigned] Caenogastropoda,Epitoniidae,Epitonium,Epitonium candeanum,Mollusca,species
419588,Animalia,Gastropoda,Littorinimorpha,Caecidae,Caecum,Caecum floridanum,Mollusca,species
419523,Animalia,Gastropoda,[unassigned] Caenogastropoda,Cerithiidae,Cerithium,Cerithium muscarum,Mollusca,species
419522,Animalia,Gastropoda,[unassigned] Caenogastropoda,Cerithiidae,Cerithium,Cerithium lutosum,Mollusca,species
418820,Plantae,Magnoliopsida,Poales,Poaceae,Spartina,Spartina cynosuroides,NA,species
418816,Plantae,Magnoliopsida,Poales,Poaceae,Panicum,Panicum virgatum,NA,species
418793,Plantae,Magnoliopsida,Asterales,Compositae,Symphyotrichum,Symphyotrichum tenuifolium,NA,species
418790,Plantae,Magnoliopsida,Asterales,Compositae,Solidago,Solidago sempervirens,NA,species
418788,Plantae,Magnoliopsida,Asterales,Compositae,Pluchea,Pluchea odorata,NA,species
418784,Plantae,Magnoliopsida,Asterales,Compositae,Iva,Iva frutescens,NA,species
418730,Plantae,Magnoliopsida,Malvales,Malvaceae,Kosteletzkya,Kosteletzkya virginica,NA,species
418727,Plantae,Magnoliopsida,Malvales,Malvaceae,Hibiscus,Hibiscus moscheutos,NA,species
418655,Plantae,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus cannabinus,NA,species
418650,Plantae,Magnoliopsida,Vitales,Vitaceae,Parthenocissus,Parthenocissus quinquefolia,NA,species
416222,Plantae,Magnoliopsida,Alismatales,Potamogetonaceae,Zannichellia,Zannichellia palustris,NA,species
416209,Plantae,Magnoliopsida,Poales,Poaceae,Phragmites,Phragmites australis,NA,species
415991,Plantae,Magnoliopsida,Asterales,Compositae,Solidago,NA,NA,genus
415505,Plantae,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,NA,NA,genus
397026,Animalia,Bivalvia,Mytilida,Mytilidae,Brachidontes,Brachidontes exustus,Mollusca,species
396707,Animalia,Malacostraca,Decapoda,Porcellanidae,Petrolisthes,Petrolisthes armatus,Arthropoda,species
395045,Plantae,Magnoliopsida,Poales,Poaceae,Spartina,Spartina patens,NA,species
394868,Animalia,Gymnolaemata,Cheilostomatida,Celleporidae,Celleporaria,Celleporaria brunnea,Bryozoa,species
394039,Bacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Nereida,NA,Proteobacteria,genus
374722,Plantae,Magnoliopsida,Alismatales,Hydrocharitaceae,Halophila,Halophila engelmannii,NA,species
374720,Plantae,Magnoliopsida,Alismatales,Hydrocharitaceae,Thalassia,Thalassia testudinum,NA,species
374715,Plantae,Magnoliopsida,Alismatales,Cymodoceaceae,Syringodium,Syringodium filiforme,NA,species
367850,Animalia,Echinoidea,Camarodonta,Toxopneustidae,Lytechinus,Lytechinus variegatus,Echinodermata,species
346012,Animalia,Copepoda,Siphonostomatoida,Dissonidae,NA,NA,Arthropoda,family
334445,Animalia,Polychaeta,Phyllodocida,Nereididae,Perinereis,Perinereis monterea,Annelida,species
333453,Animalia,Polychaeta,Phyllodocida,Syllidae,Exogone,Exogone dispar,Annelida,species
328104,Animalia,Polychaeta,Phyllodocida,Glyceridae,Glycera,Glycera brevicirris,Annelida,species
325958,Animalia,Polychaeta,Sabellida,Sabellidae,Parasabella,NA,Annelida,genus
283419,Animalia,Anthozoa,Actiniaria,Actiniidae,Condylactis,Condylactis gigantea,Cnidaria,species
281120,Animalia,Teleostei,Perciformes,Serranidae,Hypoplectrus,Hypoplectrus puella,Chordata,species
277493,Animalia,Teleostei,Gobiiformes,Gobiidae,Gnatholepis,Gnatholepis thompsoni,Chordata,species
276426,Animalia,Teleostei,Gobiiformes,Gobiidae,Coryphopterus,Coryphopterus eidolon,Chordata,species
261817,Animalia,Malacostraca,Isopoda,Sphaeromatidae,Paracerceis,Paracerceis caudata,Arthropoda,species
260565,Animalia,Malacostraca,Isopoda,Sphaeromatidae,Harrieta,Harrieta faxoni,Arthropoda,species
