protocol,database_table,level,dataset,table,column_name,data_type,version
Beach Seines,seine-metadata-monitoring-v1,2,standardized,seine-metadata,observation_id,INT64,1
Beach Seines,seine-metadata-monitoring-v1,2,standardized,seine-metadata,sample_event_id,STRING,1
Beach Seines,seine-metadata-monitoring-v1,2,standardized,seine-metadata,observatory_code,STRING,1
Beach Seines,seine-metadata-monitoring-v1,2,standardized,seine-metadata,location_name,STRING,1
Beach Seines,seine-metadata-monitoring-v1,2,standardized,seine-metadata,transect,TINYINT,1
Beach Seines,seine-metadata-monitoring-v1,2,standardized,seine-metadata,seine_mesh_size_mm,DOUBLE,1
Beach Seines,seine-metadata-monitoring-v1,2,standardized,seine-metadata,seine_width_m,DOUBLE,1
Beach Seines,seine-metadata-monitoring-v1,2,standardized,seine-metadata,seine_height_m,DOUBLE,1
Beach Seines,seine-metadata-monitoring-v1,2,standardized,seine-metadata,seine_distance_m,DOUBLE,1
Beach Seines,seine-metadata-monitoring-v1,2,standardized,seine-metadata,transect_begin_decimal_latitude,DOUBLE,1
Beach Seines,seine-metadata-monitoring-v1,2,standardized,seine-metadata,transect_begin_decimal_longitude,DOUBLE,1
Beach Seines,seine-metadata-monitoring-v1,2,standardized,seine-metadata,transect_end_decimal_latitude,DOUBLE,1
Beach Seines,seine-metadata-monitoring-v1,2,standardized,seine-metadata,transect_end_decimal_longitude,DOUBLE,1
Beach Seines,seine-metadata-monitoring-v1,2,standardized,seine-metadata,sample_metadata_notes,STRING,1
Beach Seines,abundance-seines-monitoring-v1,2,standardized,abundance,observation_id,INT64,1
Beach Seines,abundance-seines-monitoring-v1,2,standardized,abundance,sample_event_id,STRING,1
Beach Seines,abundance-seines-monitoring-v1,2,standardized,abundance,observatory_code,STRING,1
Beach Seines,abundance-seines-monitoring-v1,2,standardized,abundance,location_name,STRING,1
Beach Seines,abundance-seines-monitoring-v1,2,standardized,abundance,transect,TINYINT,1
Beach Seines,abundance-seines-monitoring-v1,2,standardized,abundance,sample_collection_date,DATE,1
Beach Seines,abundance-seines-monitoring-v1,2,standardized,abundance,scientific_name,STRING,1
Beach Seines,abundance-seines-monitoring-v1,2,standardized,abundance,taxonomic_id,STRING,1
Beach Seines,abundance-seines-monitoring-v1,2,standardized,abundance,species_id,STRING,1
Beach Seines,abundance-seines-monitoring-v1,2,standardized,abundance,abundance,INT,1
Beach Seines,abundance-seines-monitoring-v1,2,standardized,abundance,abundance_notes,STRING,1
Beach Seines,length-seines-monitoring-v1,2,standardized,length,observation_id,INT64,1
Beach Seines,length-seines-monitoring-v1,2,standardized,length,sample_event_id,STRING,1
Beach Seines,length-seines-monitoring-v1,2,standardized,length,observatory_code,STRING,1
Beach Seines,length-seines-monitoring-v1,2,standardized,length,location_name,STRING,1
Beach Seines,length-seines-monitoring-v1,2,standardized,length,transect,TINYINT,1
Beach Seines,length-seines-monitoring-v1,2,standardized,length,sample_collection_date,DATE,1
Beach Seines,length-seines-monitoring-v1,2,standardized,length,scientific_name,STRING,1
Beach Seines,length-seines-monitoring-v1,2,standardized,length,taxonomic_id,STRING,1
Beach Seines,length-seines-monitoring-v1,2,standardized,length,species_id,STRING,1
Beach Seines,length-seines-monitoring-v1,2,standardized,length,length_mm,DOUBLE,1
Beach Seines,length-seines-monitoring-v1,2,standardized,length,length_notes,STRING,1
