dataset,database_table,level,protocol,table,column_name,data_type,version
Diver Visual Survey,diver_visual_survey_l2_standardized_fish_survey_metadata,2,standardized,fish-survey-metadata,sample_event_id,STRING,1
Diver Visual Survey,diver_visual_survey_l2_standardized_fish_survey_metadata,2,standardized,fish-survey-metadata,observatory_code,STRING,1
Diver Visual Survey,diver_visual_survey_l2_standardized_fish_survey_metadata,2,standardized,fish-survey-metadata,location_name,STRING,1
Diver Visual Survey,diver_visual_survey_l2_standardized_fish_survey_metadata,2,standardized,fish-survey-metadata,transect,TINYINT,1
Diver Visual Survey,diver_visual_survey_l2_standardized_fish_survey_metadata,2,standardized,fish-survey-metadata,sample_collection_date,DATE,1
Diver Visual Survey,diver_visual_survey_l2_standardized_fish_survey_metadata,2,standardized,fish-survey-metadata,sample_collection_time,STRING,1
Diver Visual Survey,diver_visual_survey_l2_standardized_fish_survey_metadata,2,standardized,fish-survey-metadata,direction,STRING,1
Diver Visual Survey,diver_visual_survey_l2_standardized_fish_survey_metadata,2,standardized,fish-survey-metadata,RLS_trained,STRING,1
Diver Visual Survey,diver_visual_survey_l2_standardized_fish_survey_metadata,2,standardized,fish-survey-metadata,sample_metadata_notes,STRING,1
Diver Visual Survey,diver_visual_survey_l2_standardized_fish_survey_data,2,standardized,fish-survey-data,sample_event_id,STRING,1
Diver Visual Survey,diver_visual_survey_l2_standardized_fish_survey_data,2,standardized,fish-survey-data,observatory_code,STRING,1
Diver Visual Survey,diver_visual_survey_l2_standardized_fish_survey_data,2,standardized,fish-survey-data,location_name,STRING,1
Diver Visual Survey,diver_visual_survey_l2_standardized_fish_survey_data,2,standardized,fish-survey-data,transect,TINYINT,1
Diver Visual Survey,diver_visual_survey_l2_standardized_fish_survey_data,2,standardized,fish-survey-data,sample_collection_date,DATE,1
Diver Visual Survey,diver_visual_survey_l2_standardized_fish_survey_data,2,standardized,fish-survey-data,block,TINYINT,1
Diver Visual Survey,diver_visual_survey_l2_standardized_fish_survey_data,2,standardized,fish-survey-data,method,TINYINT,1
Diver Visual Survey,diver_visual_survey_l2_standardized_fish_survey_data,2,standardized,fish-survey-data,scientific_name,STRING,1
Diver Visual Survey,diver_visual_survey_l2_standardized_fish_survey_data,2,standardized,fish-survey-data,taxonomic_id,STRING,1
Diver Visual Survey,diver_visual_survey_l2_standardized_fish_survey_data,2,standardized,fish-survey-data,fish_id,STRING,1
Diver Visual Survey,diver_visual_survey_l2_standardized_fish_survey_data,2,standardized,fish-survey-data,size_class,STRING,1
Diver Visual Survey,diver_visual_survey_l2_standardized_fish_survey_data,2,standardized,fish-survey-data,abundance,INT,1
Diver Visual Survey,diver_visual_survey_l2_standardized_fish_survey_data,2,standardized,fish-survey-data,fish_survey_notes,STRING,1
