protocol,database_table,level,dataset,table,column_name,data_type,version
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_sample_metadata,2,standardized,sample-metadata,sample_event_id,STRING,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_sample_metadata,2,standardized,sample-metadata,observatory_code,STRING,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_sample_metadata,2,standardized,sample-metadata,location_name,STRING,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_sample_metadata,2,standardized,sample-metadata,transect,TINYINT,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_sample_metadata,2,standardized,sample-metadata,reef_id,STRING,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_sample_metadata,2,standardized,sample-metadata,sample_collection_date,DATE,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_sample_metadata,2,standardized,sample-metadata,transect_begin_decimal_latitude,DOUBLE,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_sample_metadata,2,standardized,sample-metadata,transect_begin_decimal_longitude,DOUBLE,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_sample_metadata,2,standardized,sample-metadata,transect_end_decimal_latitude,DOUBLE,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_sample_metadata,2,standardized,sample-metadata,transect_end_decimal_longitude,DOUBLE,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_sample_metadata,2,standardized,sample-metadata,depth_min_m,DOUBLE,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_sample_metadata,2,standardized,sample-metadata,depth_max_m,DOUBLE,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_sample_metadata,2,standardized,sample-metadata,reef_type,STRING,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_sample_metadata,2,standardized,sample-metadata,sample_metadata_notes,STRING,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_reef_area_data,2,standardized,reef-area-data,sample_event_id,STRING,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_reef_area_data,2,standardized,reef-area-data,observatory_code,STRING,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_reef_area_data,2,standardized,reef-area-data,location_name,STRING,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_reef_area_data,2,standardized,reef-area-data,reef_id,STRING,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_reef_area_data,2,standardized,reef-area-data,sample_collection_date,DATE,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_reef_area_data,2,standardized,reef-area-data,reef_area_sq_m,DOUBLE,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_reef_area_data,2,standardized,reef-area-data,reef_area_method,STRING,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_reef_area_data,2,standardized,reef-area-data,reef_area_notes,STRING,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_reef_height_data,2,standardized,reef-height-data,sample_event_id,STRING,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_reef_height_data,2,standardized,reef-height-data,observatory_code,STRING,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_reef_height_data,2,standardized,reef-height-data,location_name,STRING,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_reef_height_data,2,standardized,reef-height-data,reef_id,STRING,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_reef_height_data,2,standardized,reef-height-data,sample_collection_date,DATE,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_reef_height_data,2,standardized,reef-height-data,point,INT,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_reef_height_data,2,standardized,reef-height-data,reef_height,DOUBLE,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_reef_height_data,2,standardized,reef-height-data,compass_direction,STRING,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_reef_height_data,2,standardized,reef-height-data,unit,STRING,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_primary_substrate_composition,2,standardized,primary-substrate-composition,sample_event_id,STRING,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_primary_substrate_composition,2,standardized,primary-substrate-composition,observatory_code,STRING,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_primary_substrate_composition,2,standardized,primary-substrate-composition,location_name,STRING,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_primary_substrate_composition,2,standardized,primary-substrate-composition,reef_id,STRING,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_primary_substrate_composition,2,standardized,primary-substrate-composition,transect,TINYINT,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_primary_substrate_composition,2,standardized,primary-substrate-composition,sample_collection_date,DATE,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_primary_substrate_composition,2,standardized,primary-substrate-composition,quadrat,TINYINT,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_primary_substrate_composition,2,standardized,primary-substrate-composition,box_count,INT,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_primary_substrate_composition,2,standardized,primary-substrate-composition,cultch_count,INT,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_primary_substrate_composition,2,standardized,primary-substrate-composition,live_count,INT,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_primary_substrate_composition,2,standardized,primary-substrate-composition,sediment_count,INT,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_primary_substrate_composition,2,standardized,primary-substrate-composition,other_type,STRING,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_primary_substrate_composition,2,standardized,primary-substrate-composition,other_count,INT,1
Oyster Reef Monitoring,oyster_reef_monitoring_l2_standardized_primary_substrate_composition,2,standardized,primary-substrate-composition,primary_substrate_notes,STRING,1
