protocol,database_table,level,dataset,table,column_name,data_type,version
Predation Assay,predation-monitoring-v1,2,standardized,predation,observation_id,INT64,1
Predation Assay,predation-monitoring-v1,2,standardized,predation,sample_event_id,STRING,1
Predation Assay,predation-monitoring-v1,2,standardized,predation,observatory_code,STRING,1
Predation Assay,predation-monitoring-v1,2,standardized,predation,location_name,STRING,1
Predation Assay,predation-monitoring-v1,2,standardized,predation,transect,TINYINT,1
Predation Assay,predation-monitoring-v1,2,standardized,predation,sample_deployment_date,DATE,1
Predation Assay,predation-monitoring-v1,2,standardized,predation,sample_deployment_time,STRING,1
Predation Assay,predation-monitoring-v1,2,standardized,predation,number_deployed,INT,1
Predation Assay,predation-monitoring-v1,2,standardized,predation,bait_type,STRING,1
Predation Assay,predation-monitoring-v1,2,standardized,predation,bait_missing_1_hr,INT,1
Predation Assay,predation-monitoring-v1,2,standardized,predation,stakes_missing_1_hr,INT,1
Predation Assay,predation-monitoring-v1,2,standardized,predation,bait_missing_24_hr,INT,1
Predation Assay,predation-monitoring-v1,2,standardized,predation,stakes_missing_24_hr,INT,1
Predation Assay,predation-monitoring-v1,2,standardized,predation,sample_check_time_1_hr,STRING,1
Predation Assay,predation-monitoring-v1,2,standardized,predation,sample_check_date_24_hr,STRING,1
Predation Assay,predation-monitoring-v1,2,standardized,predation,sample_check_time_24_hr,STRING,1
Predation Assay,predation-monitoring-v1,2,standardized,predation,predation_rate_1_hr,DOUBLE,1
Predation Assay,predation-monitoring-v1,2,standardized,predation,predation_rate_24_hr,DOUBLE,1
Predation Assay,predation-monitoring-v1,2,standardized,predation,sample_data_notes,STRING,1
Predation Assay,predation-monitoring-v1,2,standardized,predation,transect_begin_decimal_latitude,DOUBLE,1
Predation Assay,predation-monitoring-v1,2,standardized,predation,transect_begin_decimal_longitude,DOUBLE,1
Predation Assay,predation-monitoring-v1,2,standardized,predation,transect_end_decimal_latitude,DOUBLE,1
Predation Assay,predation-monitoring-v1,2,standardized,predation,transect_end_decimal_longitude,DOUBLE,1
Predation Assay,predation-monitoring-v1,2,standardized,predation,depth_min_m,DOUBLE,1
Predation Assay,predation-monitoring-v1,2,standardized,predation,depth_max_m,DOUBLE,1
