protocol,database_table,level,dataset,table,column_name,data_type,version
Sampling Event Protocol,sampling_event_protocol_l2_standardized_site_metadata,2,standardized,site-metadata,sample_event_id,STRING,1
Sampling Event Protocol,sampling_event_protocol_l2_standardized_site_metadata,2,standardized,site-metadata,observatory_code,STRING,1
Sampling Event Protocol,sampling_event_protocol_l2_standardized_site_metadata,2,standardized,site-metadata,location_name,STRING,1
Sampling Event Protocol,sampling_event_protocol_l2_standardized_site_metadata,2,standardized,site-metadata,sample_collection_date,DATE,1
Sampling Event Protocol,sampling_event_protocol_l2_standardized_site_metadata,2,standardized,site-metadata,visibility_m,DOUBLE,1
Sampling Event Protocol,sampling_event_protocol_l2_standardized_site_metadata,2,standardized,site-metadata,habitat_type,STRING,1
Sampling Event Protocol,sampling_event_protocol_l2_standardized_site_metadata,2,standardized,site-metadata,event_type,STRING,1
Sampling Event Protocol,sampling_event_protocol_l2_standardized_site_metadata,2,standardized,site-metadata,temperature_c,DOUBLE,1
Sampling Event Protocol,sampling_event_protocol_l2_standardized_site_metadata,2,standardized,site-metadata,salinity_ppt,DOUBLE,1
Sampling Event Protocol,sampling_event_protocol_l2_standardized_site_metadata,2,standardized,site-metadata,dissolved_oxygen,DOUBLE,1
Sampling Event Protocol,sampling_event_protocol_l2_standardized_site_metadata,2,standardized,site-metadata,dissolved_oxygen_unit,STRING,1
Sampling Event Protocol,sampling_event_protocol_l2_standardized_site_metadata,2,standardized,site-metadata,site_notes,STRING,1
Sampling Event Protocol,sampling_event_protocol_l2_standardized_transect_metadata,2,standardized,transect-metadata,sample_event_id,STRING,1
Sampling Event Protocol,sampling_event_protocol_l2_standardized_transect_metadata,2,standardized,transect-metadata,observatory_code,STRING,1
Sampling Event Protocol,sampling_event_protocol_l2_standardized_transect_metadata,2,standardized,transect-metadata,location_name,STRING,1
Sampling Event Protocol,sampling_event_protocol_l2_standardized_transect_metadata,2,standardized,transect-metadata,transect,TINYINT,1
Sampling Event Protocol,sampling_event_protocol_l2_standardized_transect_metadata,2,standardized,transect-metadata,protocol_id,STRING,1
Sampling Event Protocol,sampling_event_protocol_l2_standardized_transect_metadata,2,standardized,transect-metadata,transect_begin_decimal_latitude,DOUBLE,1
Sampling Event Protocol,sampling_event_protocol_l2_standardized_transect_metadata,2,standardized,transect-metadata,transect_begin_decimal_longitude,DOUBLE,1
Sampling Event Protocol,sampling_event_protocol_l2_standardized_transect_metadata,2,standardized,transect-metadata,transect_end_decimal_latitude,DOUBLE,1
Sampling Event Protocol,sampling_event_protocol_l2_standardized_transect_metadata,2,standardized,transect-metadata,transect_end_decimal_longitude,DOUBLE,1
Sampling Event Protocol,sampling_event_protocol_l2_standardized_transect_metadata,2,standardized,transect-metadata,depth_min_m,DOUBLE,1
Sampling Event Protocol,sampling_event_protocol_l2_standardized_transect_metadata,2,standardized,transect-metadata,depth_max_m,DOUBLE,1
Sampling Event Protocol,sampling_event_protocol_l2_standardized_transect_metadata,2,standardized,transect-metadata,transect_notes,STRING,1
