version,level,protocol,table,column_name,data_type
1,1,sampling-event-protocol,site-metadata,site_code,
1,1,sampling-event-protocol,site-metadata,location_name,
1,1,sampling-event-protocol,site-metadata,sample_collection_year,
1,1,sampling-event-protocol,site-metadata,sample_collection_month,
1,1,sampling-event-protocol,site-metadata,sample_collection_day,
1,1,sampling-event-protocol,site-metadata,visibility_m,
1,1,sampling-event-protocol,site-metadata,habitat_type,
1,1,sampling-event-protocol,site-metadata,temperature_c,
1,1,sampling-event-protocol,site-metadata,salinity_ppt,
1,1,sampling-event-protocol,site-metadata,dissolved_oxygen,
1,1,sampling-event-protocol,site-metadata,dissolved_oxygen_unit,
1,1,sampling-event-protocol,site-metadata,sample_event_personnel,
1,1,sampling-event-protocol,site-metadata,photo_filename,
1,1,sampling-event-protocol,site-metadata,photo_location,
1,1,sampling-event-protocol,site-metadata,photo_direction,
1,1,sampling-event-protocol,site-metadata,camera_used,
1,1,sampling-event-protocol,site-metadata,photographer,
1,1,sampling-event-protocol,site-metadata,site_notes,
1,2,sampling-event-protocol,site-metadata,sample_event_id,STRING
1,2,sampling-event-protocol,site-metadata,observatory_code,STRING
1,2,sampling-event-protocol,site-metadata,location_name,STRING
1,2,sampling-event-protocol,site-metadata,sample_collection_date,DATE
1,2,sampling-event-protocol,site-metadata,visibility_m,DOUBLE
1,2,sampling-event-protocol,site-metadata,habitat_type,STRING
1,2,sampling-event-protocol,site-metadata,event_type,STRING
1,2,sampling-event-protocol,site-metadata,temperature_c,DOUBLE
1,2,sampling-event-protocol,site-metadata,salinity_ppt,DOUBLE
1,2,sampling-event-protocol,site-metadata,dissolved_oxygen,DOUBLE
1,2,sampling-event-protocol,site-metadata,dissolved_oxygen_unit,STRING
1,2,sampling-event-protocol,site-metadata,site_notes,STRING
1,1,sampling-event-protocol,transect-metadata,site_code,
1,1,sampling-event-protocol,transect-metadata,location_name,
1,1,sampling-event-protocol,transect-metadata,transect,
1,1,sampling-event-protocol,transect-metadata,transect_begin_decimal_latitude,
1,1,sampling-event-protocol,transect-metadata,transect_begin_decimal_longitude,
1,1,sampling-event-protocol,transect-metadata,transect_end_decimal_latitude,
1,1,sampling-event-protocol,transect-metadata,transect_end_decimal_longitude,
1,1,sampling-event-protocol,transect-metadata,depth_min_m,
1,1,sampling-event-protocol,transect-metadata,depth_max_m,
1,1,sampling-event-protocol,transect-metadata,transect_notes,
1,2,sampling-event-protocol,transect-metadata,sample_event_id,STRING
1,2,sampling-event-protocol,transect-metadata,observatory_code,STRING
1,2,sampling-event-protocol,transect-metadata,location_name,STRING
1,2,sampling-event-protocol,transect-metadata,transect,TINYINT
1,2,sampling-event-protocol,transect-metadata,protocol_id,STRING
1,2,sampling-event-protocol,transect-metadata,transect_begin_decimal_latitude,DOUBLE
1,2,sampling-event-protocol,transect-metadata,transect_begin_decimal_longitude,DOUBLE
1,2,sampling-event-protocol,transect-metadata,transect_end_decimal_latitude,DOUBLE
1,2,sampling-event-protocol,transect-metadata,transect_end_decimal_longitude,DOUBLE
1,2,sampling-event-protocol,transect-metadata,depth_min_m,DOUBLE
1,2,sampling-event-protocol,transect-metadata,depth_max_m,DOUBLE
1,2,sampling-event-protocol,transect-metadata,transect_notes,STRING
