protocol,database_table,level,dataset,table,column_name,data_type,version
Seagrass Monitoring,seagrass_monitoring_l2_standardized_biomass,2,standardized,biomass,sample_event_id,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_biomass,2,standardized,biomass,observatory_code,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_biomass,2,standardized,biomass,location_name,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_biomass,2,standardized,biomass,transect,TINYINT,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_biomass,2,standardized,biomass,quadrat,INT,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_biomass,2,standardized,biomass,sample_collection_date,DATE,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_biomass,2,standardized,biomass,scientific_name,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_biomass,2,standardized,biomass,identification_notes,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_biomass,2,standardized,biomass,tin_mass_g,DOUBLE,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_biomass,2,standardized,biomass,tin_sample_dry_mass_g,DOUBLE,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_biomass,2,standardized,biomass,corer_dimensions,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_biomass,2,standardized,biomass,sample_data_notes,STRING,1
