dataset,database_table,level,protocol,table,column_name,data_type,version
Seagrass Monitoring,,1,seagrass-biomass,sample-metadata,sample_collection_year,,1
Seagrass Monitoring,,1,seagrass-biomass,sample-metadata,sample_collection_month,,1
Seagrass Monitoring,,1,seagrass-biomass,sample-metadata,sample_collection_day,,1
Seagrass Monitoring,,1,seagrass-biomass,sample-metadata,site_code,,1
Seagrass Monitoring,,1,seagrass-biomass,sample-metadata,location_name,,1
Seagrass Monitoring,,1,seagrass-biomass,sample-metadata,transect,,1
Seagrass Monitoring,,1,seagrass-biomass,sample-metadata,sample_dimensions,,1
Seagrass Monitoring,,1,seagrass-biomass,sample-metadata,sample_processing_year,,1
Seagrass Monitoring,,1,seagrass-biomass,sample-metadata,sample_processing_month,,1
Seagrass Monitoring,,1,seagrass-biomass,sample-metadata,sample_processing_day,,1
Seagrass Monitoring,,1,seagrass-biomass,sample-metadata,corer_dimensions,,1
Seagrass Monitoring,,1,seagrass-biomass,sample-metadata,data_collector,,1
Seagrass Monitoring,,1,seagrass-biomass,sample-metadata,data_entry_person,,1
Seagrass Monitoring,,1,seagrass-biomass,sample-metadata,sample_metadata_notes,,1
Seagrass Monitoring,,1,seagrass-biomass,sample-data,sample_collection_year,,1
Seagrass Monitoring,,1,seagrass-biomass,sample-data,sample_collection_month,,1
Seagrass Monitoring,,1,seagrass-biomass,sample-data,sample_collection_day,,1
Seagrass Monitoring,,1,seagrass-biomass,sample-data,site_code,,1
Seagrass Monitoring,,1,seagrass-biomass,sample-data,location_name,,1
Seagrass Monitoring,,1,seagrass-biomass,sample-data,transect,,1
Seagrass Monitoring,,1,seagrass-biomass,sample-data,quadrat,,1
Seagrass Monitoring,,1,seagrass-biomass,sample-data,scientific_name,,1
Seagrass Monitoring,,1,seagrass-biomass,sample-data,identification_notes,,1
Seagrass Monitoring,,1,seagrass-biomass,sample-data,sample_processing_person,,1
Seagrass Monitoring,,1,seagrass-biomass,sample-data,tin_mass_g,,1
Seagrass Monitoring,,1,seagrass-biomass,sample-data,tin_sample_dry_mass_g,,1
Seagrass Monitoring,,1,seagrass-biomass,sample-data,sample_data_notes,,1
Seagrass Monitoring,,2,seagrass-biomass,sample-metadata,sample_event_id,STRING,1
Seagrass Monitoring,,2,seagrass-biomass,sample-metadata,observatory_code,STRING,1
Seagrass Monitoring,,2,seagrass-biomass,sample-metadata,location_name,STRING,1
Seagrass Monitoring,,2,seagrass-biomass,sample-metadata,transect,TINYINT,1
Seagrass Monitoring,,2,seagrass-biomass,sample-metadata,sample_collection_date,DATE,1
Seagrass Monitoring,,2,seagrass-biomass,sample-metadata,sample_dimensions,STRING,1
Seagrass Monitoring,,2,seagrass-biomass,sample-metadata,sample_processing_date,DATE,1
Seagrass Monitoring,,2,seagrass-biomass,sample-metadata,corer_dimensions,STRING,1
Seagrass Monitoring,,2,seagrass-biomass,sample-metadata,sample_metadata_notes,STRING,1
Seagrass Monitoring,,2,seagrass-biomass,sample-data,sample_event_id,STRING,1
Seagrass Monitoring,,2,seagrass-biomass,sample-data,observatory_code,STRING,1
Seagrass Monitoring,,2,seagrass-biomass,sample-data,location_name,STRING,1
Seagrass Monitoring,,2,seagrass-biomass,sample-data,transect,TINYINT,1
Seagrass Monitoring,,2,seagrass-biomass,sample-data,quadrat,INT,1
Seagrass Monitoring,,2,seagrass-biomass,sample-data,sample_collection_date,DATE,1
Seagrass Monitoring,,2,seagrass-biomass,sample-data,scientific_name,STRING,1
Seagrass Monitoring,,2,seagrass-biomass,sample-data,identification_notes,STRING,1
Seagrass Monitoring,,2,seagrass-biomass,sample-data,tin_mass_g,DOUBLE,1
Seagrass Monitoring,,2,seagrass-biomass,sample-data,tin_sample_dry_mass_g,DOUBLE,1
Seagrass Monitoring,,2,seagrass-biomass,sample-data,sample_data_notes,STRING,1
