dataset,database_table,level,protocol,table,column_name,data_type,version
Seagrass Monitoring,seagrass_monitoring_l2_standardized_cover,2,standardized,cover,sample_event_id,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_cover,2,standardized,cover,observatory_code,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_cover,2,standardized,cover,location_name,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_cover,2,standardized,cover,transect,TINYINT,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_cover,2,standardized,cover,quadrat,INT,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_cover,2,standardized,cover,sample_collection_date,DATE,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_cover,2,standardized,cover,scientific_name,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_cover,2,standardized,cover,taxonomic_id,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_cover,2,standardized,cover,cover_code,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_cover,2,standardized,cover,sediment_type,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_cover,2,standardized,cover,cover_quadrat_dimensions,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_cover,2,standardized,cover,cover_sample_notes,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macroinvertebrates,2,standardized,macroinvertebrates,sample_event_id,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macroinvertebrates,2,standardized,macroinvertebrates,observatory_code,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macroinvertebrates,2,standardized,macroinvertebrates,location_name,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macroinvertebrates,2,standardized,macroinvertebrates,transect,TINYINT,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macroinvertebrates,2,standardized,macroinvertebrates,quadrat,INT,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macroinvertebrates,2,standardized,macroinvertebrates,sample_collection_date,DATE,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macroinvertebrates,2,standardized,macroinvertebrates,scientific_name,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macroinvertebrates,2,standardized,macroinvertebrates,taxonomic_id,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macroinvertebrates,2,standardized,macroinvertebrates,macro_invert_id,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macroinvertebrates,2,standardized,macroinvertebrates,size_mm,DOUBLE,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macroinvertebrates,2,standardized,macroinvertebrates,macro_invert_sample_notes,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_shoot_count,2,standardized,shoot-count,sample_event_id,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_shoot_count,2,standardized,shoot-count,observatory_code,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_shoot_count,2,standardized,shoot-count,location_name,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_shoot_count,2,standardized,shoot-count,transect,TINYINT,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_shoot_count,2,standardized,shoot-count,quadrat,INT,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_shoot_count,2,standardized,shoot-count,sample_collection_date,DATE,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_shoot_count,2,standardized,shoot-count,scientific_name,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_shoot_count,2,standardized,shoot-count,taxonomic_id,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_shoot_count,2,standardized,shoot-count,shoots_count,INT,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_shoot_count,2,standardized,shoot-count,flowers_count,INT,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_shoot_count,2,standardized,shoot-count,fruits_count,INT,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_shoot_count,2,standardized,shoot-count,density_quadrat_dimensions,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_shoot_count,2,standardized,shoot-count,shoot_count_sample_notes,STRING,1
