version,level,protocol,table,column_name,data_type
1,1,seagrass-density,sample-metadata,sample_collection_year,
1,1,seagrass-density,sample-metadata,sample_collection_month,
1,1,seagrass-density,sample-metadata,sample_collection_day,
1,1,seagrass-density,sample-metadata,site_code,
1,1,seagrass-density,sample-metadata,location_name,
1,1,seagrass-density,sample-metadata,transect,
1,1,seagrass-density,sample-metadata,cover_method,
1,1,seagrass-density,sample-metadata,quadrat_dimensions,
1,1,seagrass-density,sample-metadata,points_in_quadrat,
1,1,seagrass-density,sample-metadata,sample_metadata_notes,
1,1,seagrass-density,cover-sample-data,sample_collection_year,
1,1,seagrass-density,cover-sample-data,sample_collection_month,
1,1,seagrass-density,cover-sample-data,sample_collection_day,
1,1,seagrass-density,cover-sample-data,site_code,
1,1,seagrass-density,cover-sample-data,location_name,
1,1,seagrass-density,cover-sample-data,transect,
1,1,seagrass-density,cover-sample-data,quadrat,
1,1,seagrass-density,cover-sample-data,scientific_name,
1,1,seagrass-density,cover-sample-data,identification_notes,
1,1,seagrass-density,cover-sample-data,cover_code,
1,1,seagrass-density,cover-sample-data,sediment_type,
1,1,seagrass-density,cover-sample-data,cover_sample_notes,
1,1,seagrass-density,macro-invert-sample-data,sample_collection_year,
1,1,seagrass-density,macro-invert-sample-data,sample_collection_month,
1,1,seagrass-density,macro-invert-sample-data,sample_collection_day,
1,1,seagrass-density,macro-invert-sample-data,site_code,
1,1,seagrass-density,macro-invert-sample-data,location_name,
1,1,seagrass-density,macro-invert-sample-data,transect,
1,1,seagrass-density,macro-invert-sample-data,quadrat,
1,1,seagrass-density,macro-invert-sample-data,scientific_name,
1,1,seagrass-density,macro-invert-sample-data,identification_notes,
1,1,seagrass-density,macro-invert-sample-data,size_mm,
1,1,seagrass-density,macro-invert-sample-data,macro_invert_sample_notes,
1,1,seagrass-density,shoot-count-sample-data,sample_collection_year,
1,1,seagrass-density,shoot-count-sample-data,sample_collection_month,
1,1,seagrass-density,shoot-count-sample-data,sample_collection_day,
1,1,seagrass-density,shoot-count-sample-data,site_code,
1,1,seagrass-density,shoot-count-sample-data,location_name,
1,1,seagrass-density,shoot-count-sample-data,transect,
1,1,seagrass-density,shoot-count-sample-data,quadrat,
1,1,seagrass-density,shoot-count-sample-data,scientific_name,
1,1,seagrass-density,shoot-count-sample-data,identification_notes,
1,1,seagrass-density,shoot-count-sample-data,shoots_count,
1,1,seagrass-density,shoot-count-sample-data,flowers_count,
1,1,seagrass-density,shoot-count-sample-data,fruits_count,
1,1,seagrass-density,shoot-count-sample-data,shoot_count_sample_notes,
1,2,seagrass-density,sample-metadata,sample_event_id,STRING
1,2,seagrass-density,sample-metadata,observatory_code,STRING
1,2,seagrass-density,sample-metadata,location_name,STRING
1,2,seagrass-density,sample-metadata,transect,TINYINT
1,2,seagrass-density,sample-metadata,sample_collection_date,DATE
1,2,seagrass-density,sample-metadata,cover_method,STRING
1,2,seagrass-density,sample-metadata,cover_quadrat_dimensions,STRING
1,2,seagrass-density,sample-metadata,density_quadrat_dimensions,STRING
1,2,seagrass-density,sample-metadata,points_in_quadrat,INT
1,2,seagrass-density,sample-metadata,sample_metadata_notes,STRING
1,2,seagrass-density,cover-sample-data,sample_event_id,STRING
1,2,seagrass-density,cover-sample-data,observatory_code,STRING
1,2,seagrass-density,cover-sample-data,location_name,STRING
1,2,seagrass-density,cover-sample-data,transect,TINYINT
1,2,seagrass-density,cover-sample-data,quadrat,INT
1,2,seagrass-density,cover-sample-data,sample_collection_date,DATE
1,2,seagrass-density,cover-sample-data,scientific_name,STRING
1,2,seagrass-density,cover-sample-data,taxonomic_id,STRING
1,2,seagrass-density,cover-sample-data,cover_code,STRING
1,2,seagrass-density,cover-sample-data,sediment_type,STRING
1,2,seagrass-density,cover-sample-data,cover_sample_notes,STRING
1,2,seagrass-density,macro-invert-sample-data,sample_event_id,STRING
1,2,seagrass-density,macro-invert-sample-data,observatory_code,STRING
1,2,seagrass-density,macro-invert-sample-data,location_name,STRING
1,2,seagrass-density,macro-invert-sample-data,transect,TINYINT
1,2,seagrass-density,macro-invert-sample-data,quadrat,INT
1,2,seagrass-density,macro-invert-sample-data,sample_collection_date,DATE
1,2,seagrass-density,macro-invert-sample-data,scientific_name,STRING
1,2,seagrass-density,macro-invert-sample-data,taxonomic_id,STRING
1,2,seagrass-density,macro-invert-sample-data,macro_invert_id,STRING
1,2,seagrass-density,macro-invert-sample-data,size_mm,DOUBLE
1,2,seagrass-density,macro-invert-sample-data,macro_invert_sample_notes,STRING
1,2,seagrass-density,shoot-count-sample-data,sample_event_id,STRING
1,2,seagrass-density,shoot-count-sample-data,observatory_code,STRING
1,2,seagrass-density,shoot-count-sample-data,location_name,STRING
1,2,seagrass-density,shoot-count-sample-data,transect,TINYINT
1,2,seagrass-density,shoot-count-sample-data,quadrat,INT
1,2,seagrass-density,shoot-count-sample-data,sample_collection_date,DATE
1,2,seagrass-density,shoot-count-sample-data,scientific_name,STRING
1,2,seagrass-density,shoot-count-sample-data,taxonomic_id,STRING
1,2,seagrass-density,shoot-count-sample-data,shoots_count,INT
1,2,seagrass-density,shoot-count-sample-data,flowers_count,INT
1,2,seagrass-density,shoot-count-sample-data,fruits_count,INT
1,2,seagrass-density,shoot-count-sample-data,shoot_count_sample_notes,STRING
