protocol,database_table,level,dataset,table,column_name,data_type,version
Seagrass Monitoring,seagrass_monitoring_l2_standardized_epifauna_metadata,2,standardized,epifauna-metadata,sample_event_id,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_epifauna_metadata,2,standardized,epifauna-metadata,observatory_code,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_epifauna_metadata,2,standardized,epifauna-metadata,location_name,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_epifauna_metadata,2,standardized,epifauna-metadata,transect,TINYINT,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_epifauna_metadata,2,standardized,epifauna-metadata,sample_collection_date,DATE,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_epifauna_metadata,2,standardized,epifauna-metadata,mesh_bag_length,DOUBLE,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_epifauna_metadata,2,standardized,epifauna-metadata,mesh_bag_width,DOUBLE,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_epifauna_metadata,2,standardized,epifauna-metadata,mesh_size,DOUBLE,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_epifauna_metadata,2,standardized,epifauna-metadata,sample_processing_date,DATE,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_epifauna_metadata,2,standardized,epifauna-metadata,sample_metadata_notes,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macrophyte_mass,2,standardized,macrophyte-mass,sample_event_id,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macrophyte_mass,2,standardized,macrophyte-mass,observatory_code,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macrophyte_mass,2,standardized,macrophyte-mass,location_name,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macrophyte_mass,2,standardized,macrophyte-mass,transect,TINYINT,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macrophyte_mass,2,standardized,macrophyte-mass,quadrat,INT,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macrophyte_mass,2,standardized,macrophyte-mass,sample_collection_date,DATE,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macrophyte_mass,2,standardized,macrophyte-mass,scientific_name,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macrophyte_mass,2,standardized,macrophyte-mass,taxonomic_id,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macrophyte_mass,2,standardized,macrophyte-mass,macrophyte_id,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macrophyte_mass,2,standardized,macrophyte-mass,sample_dry_mass_g,DOUBLE,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macrophyte_mass,2,standardized,macrophyte-mass,macrophyte_mass_notes,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_epifauna_data,2,standardized,epifauna-data,sample_event_id,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_epifauna_data,2,standardized,epifauna-data,observatory_code,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_epifauna_data,2,standardized,epifauna-data,location_name,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_epifauna_data,2,standardized,epifauna-data,transect,TINYINT,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_epifauna_data,2,standardized,epifauna-data,quadrat,INT,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_epifauna_data,2,standardized,epifauna-data,sample_collection_date,DATE,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_epifauna_data,2,standardized,epifauna-data,scientific_name,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_epifauna_data,2,standardized,epifauna-data,taxonomic_id,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_epifauna_data,2,standardized,epifauna-data,epifauna_id,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_epifauna_data,2,standardized,epifauna-data,size_class,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_epifauna_data,2,standardized,epifauna-data,count,INT,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_epifauna_data,2,standardized,epifauna-data,epifauna_notes,STRING,1
