dataset,database_table,level,protocol,table,column_name,data_type,version
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macroalgae,2,standardized,macroalgae,sample_event_id,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macroalgae,2,standardized,macroalgae,observatory_code,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macroalgae,2,standardized,macroalgae,location_name,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macroalgae,2,standardized,macroalgae,transect,TINYINT,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macroalgae,2,standardized,macroalgae,quadrat,INT,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macroalgae,2,standardized,macroalgae,sample_collection_date,DATE,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macroalgae,2,standardized,macroalgae,scientific_name,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macroalgae,2,standardized,macroalgae,taxonomic_id,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macroalgae,2,standardized,macroalgae,macroalgae_id,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macroalgae,2,standardized,macroalgae,tin_mass_macroalgae_g,DOUBLE,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macroalgae,2,standardized,macroalgae,tin_and_macroalgae_dry_mass_g,DOUBLE,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_macroalgae,2,standardized,macroalgae,sample_data_notes,STRING,1
