dataset,database_table,level,protocol,table,column_name,data_type,version
Seagrass Monitoring,seagrass_monitoring_l2_standardized_blade_measurements,2,standardized,blade-measurements,sample_event_id,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_blade_measurements,2,standardized,blade-measurements,observatory_code,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_blade_measurements,2,standardized,blade-measurements,location_name,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_blade_measurements,2,standardized,blade-measurements,transect,TINYINT,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_blade_measurements,2,standardized,blade-measurements,quadrat,INT,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_blade_measurements,2,standardized,blade-measurements,sample_collection_date,DATE,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_blade_measurements,2,standardized,blade-measurements,scientific_name,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_blade_measurements,2,standardized,blade-measurements,taxonomic_id,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_blade_measurements,2,standardized,blade-measurements,blade_rank,INT,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_blade_measurements,2,standardized,blade-measurements,blade_length_mm,DOUBLE,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_blade_measurements,2,standardized,blade-measurements,blade_width_mm,DOUBLE,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_blade_measurements,2,standardized,blade-measurements,blade_measurement_data_notes,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_sheath_and_epibiont_data,2,standardized,sheath-and-epibiont-data,sample_event_id,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_sheath_and_epibiont_data,2,standardized,sheath-and-epibiont-data,observatory_code,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_sheath_and_epibiont_data,2,standardized,sheath-and-epibiont-data,location_name,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_sheath_and_epibiont_data,2,standardized,sheath-and-epibiont-data,transect,TINYINT,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_sheath_and_epibiont_data,2,standardized,sheath-and-epibiont-data,quadrat,INT,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_sheath_and_epibiont_data,2,standardized,sheath-and-epibiont-data,sample_collection_date,DATE,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_sheath_and_epibiont_data,2,standardized,sheath-and-epibiont-data,scientific_name,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_sheath_and_epibiont_data,2,standardized,sheath-and-epibiont-data,taxonomic_id,STRING,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_sheath_and_epibiont_data,2,standardized,sheath-and-epibiont-data,sheath_length_mm,DOUBLE,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_sheath_and_epibiont_data,2,standardized,sheath-and-epibiont-data,number_grazing_scars,INT,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_sheath_and_epibiont_data,2,standardized,sheath-and-epibiont-data,epibiont_dry_mass_g,DOUBLE,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_sheath_and_epibiont_data,2,standardized,sheath-and-epibiont-data,blades_dry_mass_g,DOUBLE,1
Seagrass Monitoring,seagrass_monitoring_l2_standardized_sheath_and_epibiont_data,2,standardized,sheath-and-epibiont-data,sheath_and_epibiont_data_notes,STRING,1
