protocol,database_table,level,dataset,table,column_name,data_type,version
Sediment Organic Matter,sediment_organic_matter_l2_standardized_data,2,standardized,data,sample_event_id,STRING,1
Sediment Organic Matter,sediment_organic_matter_l2_standardized_data,2,standardized,data,observatory_code,STRING,1
Sediment Organic Matter,sediment_organic_matter_l2_standardized_data,2,standardized,data,location_name,STRING,1
Sediment Organic Matter,sediment_organic_matter_l2_standardized_data,2,standardized,data,transect,TINYINT,1
Sediment Organic Matter,sediment_organic_matter_l2_standardized_data,2,standardized,data,quadrat,INT,1
Sediment Organic Matter,sediment_organic_matter_l2_standardized_data,2,standardized,data,sample_collection_date,DATE,1
Sediment Organic Matter,sediment_organic_matter_l2_standardized_data,2,standardized,data,sediment_volume_ml,DOUBLE,1
Sediment Organic Matter,sediment_organic_matter_l2_standardized_data,2,standardized,data,sediment_dry_mass_g,DOUBLE,1
Sediment Organic Matter,sediment_organic_matter_l2_standardized_data,2,standardized,data,sediment_ash_free_dry_mass_g,DOUBLE,1
Sediment Organic Matter,sediment_organic_matter_l2_standardized_data,2,standardized,data,sample_data_notes,STRING,1
